(Übergeordnete) ASIN,(Untergeordnete) ASIN,Titel,SKU,Sitzungen – Summe,Sitzungen – Summe – B2B,Prozentwert an Sitzungen – Summe,Prozentsatz Sitzung – Summe – B2B,Seitenaufrufe – Summe,Seitenaufrufe – Summe – B2B,Prozentsatz Seitenaufrufe – Summe,Prozentsatz Seitenaufrufe – Summe – B2B,Hervorgehobenes Angebot ("In-den-Einkaufswagen") – Prozentsatz,Hervorgehobenes Angebot (Einkaufswagen-Feld) Prozentwert – B2B,Bestellte Einheiten,Bestellte Einheiten – B2B,Prozentsatz an Einheiten pro Sitzung,Prozentsatz an Einheiten pro Sitzung – B2B,Durch bestellte Produkte erzielter Umsatz,Bestellsumme – B2B,Zahl der Bestellposten,Zahl der Bestellposten – B2B
B08KT4SNN7,B0CPMG1LVP,"Blubberschlauch Silikonschlauch für Stimmtherapie und Stimmtraining - Logopädie Blubber Schlauch aus aus platinvernetztem Silikon (transparent (milchig), 1 Basic Set Azurblau)",BS-Set-BLAU (PRIME),"3,218",51,4.81%,1.03%,"5,331",86,5.76%,1.23%,99.96%,100.00%,800,42,24.86%,82.35%,"17.510,95 €","912,56 €",736,18
B08M68ZQSN,B003IJE1EG,"Druckluftkupplung Kupplungsstecker Außengewinde 1/4""",KSG 14 NW7-PRIME,"2,988",240,4.47%,4.82%,"4,517",393,4.88%,5.62%,100.00%,100.00%,981,303,32.83%,126.25%,"4.639,07 €","1.413,69 €",653,115
B08M68ZQSN,B003IJBZG8,"Druckluftkupplung Premium Kupplungsstecker Außengewinde 1/2"" | NW 7,2 Messing Hochleistungs",KSG 12 NW7-PRIME,"2,305",205,3.45%,4.12%,"3,340",301,3.61%,4.31%,100.00%,100.00%,767,215,33.28%,104.88%,"4.061,35 €","1.106,83 €",560,108
B08KT4SNN7,B077ZDPRLT,"Blubberschlauch Silikonschlauch für Stimmtherapie und Stimmtraining - Logopädie Blubber Schlauch aus aus platinvernetztem Silikon (transparent (milchig), 1 Schlauch)",T7-S54N-3EF0,"2,094",42,3.13%,0.84%,"2,810",49,3.04%,0.70%,99.92%,100.00%,322,10,15.38%,23.81%,"2.558,92 €","78,23 €",302,7
B08FCF8P6M,B00KWDA02S,"Braun Spiralschlauch Ersatzteil für Munddusche - Weiß - 1,50m Länge - Flexibel und Langlebig",BES-silber,"1,218",25,1.82%,0.50%,"1,986",39,2.15%,0.56%,83.49%,90.00%,310,9,25.45%,36.00%,"2.011,90 €","58,41 €",295,8
B08FB8BB9T,B071FM2H6R,Pneumatik Polyurethan PUN Schlauch 5 meter Außen 6mm x Innen 4mm Blau Flexibel Druckluftschlauch Luft Treibstoff Öl,PUN 6x4 BLAU-5-PRIME,"1,708",105,2.56%,2.11%,"2,377",142,2.57%,2.03%,100.00%,100.00%,265,44,15.52%,41.90%,"2.103,33 €","345,16 €",240,42
B08M68ZQSN,B003IJAHKI,"Druckluftkupplung Kupplungsstecker Außengewinde 3/8""",KSG 38 NW7-PRIME,819,91,1.23%,1.83%,"1,137",134,1.23%,1.92%,100.00%,100.00%,281,124,34.31%,136.26%,"1.198,36 €","523,04 €",186,50
B075V7ZK5L,B075V7ZK5L,"REHAU RAUCLAIR-E lebensmittelechter PVC-Schlauch, Wasserschlauch, Luftschlauch| METERWARE (13. Innen-Außen: 8mm - 10mm)",PVC 810-1,"2,215",90,3.31%,1.81%,"3,128",112,3.38%,1.60%,95.07%,93.33%,228,7,10.29%,7.78%,"969,00 €","29,75 €",161,4
B076D1MNWR,B076D1MNWR,"REHAU RAUCLAIR-E lebensmittelechter PVC-Schlauch, Wasserschlauch, Luftschlauch| METERWARE (18. Innen-Außen: 12mm - 16mm)",PVC 1216-1,"1,544",39,2.31%,0.78%,"2,195",58,2.37%,0.83%,92.77%,73.08%,256,5,16.58%,12.82%,"1.277,44 €","24,95 €",143,5
B08M68ZQSN,B003IJ742W,"Druckluftkupplung Kupplungsstecker Innenngewinde 3/8""",KSGI 38 NW7-PRIME,443,58,0.66%,1.17%,654,73,0.71%,1.04%,100.00%,100.00%,180,60,40.63%,103.45%,"849,32 €","274,79 €",139,32
B08M68ZQSN,B003IJBZCC,"Druckluftkupplung Kupplungsstecker Außengewinde 1/8""",KSG 18 NW7-PRIME,955,64,1.43%,1.29%,"1,324",85,1.43%,1.22%,100.00%,100.00%,165,30,17.28%,46.88%,"699,31 €","125,46 €",137,15
B08Q48X8VJ,B08RZ92FB8,"Druckluftverteiler Wanddose Druckluftweiche aus Messing mit 1 x 1/2"" Stecknippel und 4 x 1/2"" Kupplungsdosen NW 7,2 Luftweiche",WDKDG 12 LW4 MS (Prime),707,92,1.06%,1.85%,"1,060",152,1.15%,2.18%,99.79%,100.00%,145,49,20.51%,53.26%,"5.157,70 €","1.700,26 €",132,43
B08FB8BB9T,B071FM2GKZ,"Pneumatik Polyurethan PUN Schlauch 5 meter Außen 4mm x Innen 2,5mm Blau Flexibel Druckluftschlauch Luft Treibstoff Öl","PUN 4X2,5 BLAU-5-PRIME",710,55,1.06%,1.11%,957,78,1.03%,1.12%,100.00%,100.00%,142,31,20.00%,56.36%,"708,81 €","152,60 €",117,18
B08FB8BB9T,B071LSKR5T,Pneumatik Polyurethan PUN Schlauch 5 meter Außen 8mm x Innen 5mm Blau Flexibel Druckluftschlauch Luft Treibstoff Öl,PUN 8x5 BLAU-5-PRIME,610,62,0.91%,1.25%,876,89,0.95%,1.27%,100.00%,100.00%,129,32,21.15%,51.61%,"1.028,99 €","253,92 €",115,25
B08FB8BB9T,B0723GHNHQ,"Pneumatik Polyurethan PUN Schlauch 5 meter Außen 4mm x Innen 2,5mm Klar Transparent Flexibel Druckluftschlauch Luft Treibstoff Öl","PUN 4x2,5 KLAR-5-PRIME",713,39,1.07%,0.78%,978,52,1.06%,0.74%,100.00%,100.00%,124,13,17.39%,33.33%,"616,73 €","63,40 €",110,8
B08KJG3ZVP,B0108HHGPG,"5 Stück Steckverschraubung Pneumatik Steckverbinder Schnellsteckverbinder Push In (G 1/4"" x 6mm) zylindrisch",IQSG 146 G-5-PRIME,784,82,1.17%,1.65%,"1,124",111,1.21%,1.59%,100.00%,100.00%,127,37,16.20%,45.12%,"1.220,21 €","347,55 €",109,26
B08KT4SNN7,B0785R5DPN,"Blubberschlauch Silikonschlauch für Stimmtherapie und Stimmtraining - Logopädie Blubber Schlauch aus aus platinvernetztem Silikon (transparent (milchig), 10 Schläuche)",LV1014-10-PRIME,347,30,0.52%,0.60%,456,45,0.49%,0.64%,100.00%,100.00%,108,25,31.12%,83.33%,"5.129,22 €","1.179,92 €",95,19
