Startdatum,Enddatum,Portfolioname,Kampagnentyp,Kampagnen-Name,Land,Status,Währung,Budget,Targeting-Typ,Gebotsstrategien,Impressionen,Impressionen im vergangenen Jahr,Klicks,Klicks im letzten Jahr,Klickrate (CTR),Ausgaben,Ausgaben im letzten Jahr,Kosten pro Klick (CPC),Kosten pro Klick im letzten Jahr (CPC),"7 Tage, Aufträge gesamt (#)","Zugeschriebene Umsatzkosten (ACOS) gesamt ",Gesamte Rentabilität der Anzeigenkosten (ROAS),"7 Tage, Umsatz gesamt (€)"
"Mar 10, 2025","Mar 24, 2025",No Portfolio,Sponsored Products,PVC,Deutschland,PAUSED,EUR,€10.0,Automatisches Targeting,Dynamische Gebote – erhöhen und senken,70898,,708,,0.9990000000000001%,€142.96,,€0.20192090000000001,€0.0,39,59.52499999999999%,1.68,€240.17
"Mar 10, 2025","Apr 01, 2025",Schläuche,Sponsored Products,L.V.,Deutschland,ENABLED,EUR,€6.0,Automatisches Targeting,Dynamische Gebote – nur senken,3707,,17,,0.459%,€4.47,,€0.2629412,€0.0,2,5.599%,17.86,€79.84
"Mar 10, 2025","Apr 01, 2025",Schläuche,Sponsored Products,"PVC 1014 (4,75)",Deutschland,ENABLED,EUR,€6.0,Automatisches Targeting,Dynamische Gebote – nur senken,9845,,44,,0.447%,€7.66,,€0.1740909,€0.0,2,20.084%,4.98,€38.14
"Mar 10, 2025","Mar 24, 2025",Schläuche,Sponsored Products,PUN - 5m,Deutschland,ENABLED,EUR,€5.0,Automatisches Targeting,Dynamische Gebote – nur senken,24362,,104,,0.42700000000000005%,€51.02,,€0.4905769,€0.0,9,70.95%,1.41,€71.91
"Mar 10, 2025","Apr 01, 2025",No Portfolio,Sponsored Products,Spiralschläuche,Deutschland,ENABLED,EUR,€10.0,Automatisches Targeting,Dynamische Gebote – nur senken,33544,,59,,0.17600000000000002%,€12.86,,€0.21796610000000002,€0.0,16,14.748%,6.78,€87.2
"Mar 10, 2025","Mar 21, 2025",No Portfolio,Sponsored Products,Steckverbinder,Deutschland,ARCHIVED,EUR,€10.0,Automatisches Targeting,Feste Gebote,18472,,85,,0.45999999999999996%,€22.97,,€0.2702353,€0.0,21,13.883999999999999%,7.2,€165.44
"Mar 10, 2025","Mar 24, 2025",Schläuche,Sponsored Products,Polyethylenschlauch Rollen,Deutschland,PAUSED,EUR,€6.0,Automatisches Targeting,Dynamische Gebote – nur senken,38497,,148,,0.384%,€91.12,,€0.6156757,€0.0,15,32.672000000000004%,3.06,€278.89
"Mar 10, 2025","Mar 21, 2025",Steckverbinder,Sponsored Products,5 Steckverschraubungen IG Manuell,Deutschland,ARCHIVED,EUR,€5.0,Manuelles Targeting,Dynamische Gebote – nur senken,15607,,72,,0.461%,€26.09,,€0.3623611,€0.0,19,11.23%,8.9,€232.32
"Mar 03, 2025","Apr 01, 2025",AA_Autostrukturen,Sponsored Products,technische Ausstattung FRITSCH ALL ASIN_Automatisch_-(0/0),Deutschland,ENABLED,EUR,€130.0,Automatisches Targeting,Dynamische Gebote – nur senken,1196712,1360519,7384,4859,0.617%,€2044.24,€1347.82,€0.27684719999999996,€0.27738630000000003,1250,20.435%,4.89,€10003.7
"Mar 10, 2025","Apr 01, 2025",AA_Kupplungsstecker,Sponsored Products,Kupplungsstecker B08M68ZQSN Performance_SP_Auto_-(0/0),Deutschland,ENABLED,EUR,€8.0,Automatisches Targeting,Dynamische Gebote – nur senken,41351,92971,263,281,0.636%,€53.28,€63.59,€0.2025856,€0.2262989,54,14.99%,6.67,€355.44
"Mar 03, 2025","Apr 01, 2025",AA_Kupplungsstecker,Sponsored Products,Kupplungsstecker B08M68ZQSN Performance_SP_P-Bestseller_-(0/0),Deutschland,ENABLED,EUR,€12.0,Manuelles Targeting,Dynamische Gebote – nur senken,5251,8828,59,97,1.124%,€16.0,€23.52,€0.2711864,€0.24247420000000003,12,24.872%,4.02,€64.33
"Mar 03, 2025","Apr 01, 2025",AA_Kupplungsstecker,Sponsored Products,Kupplungsstecker B08M68ZQSN Performance_SP_KW-Breit_-(0/0),Deutschland,ENABLED,EUR,€36.0,Manuelles Targeting,Dynamische Gebote – nur senken,137538,237177,1300,1411,0.9450000000000001%,€580.49,€588.15,€0.4465308,€0.416832,389,20.163%,4.96,€2879.05
"Mar 10, 2025","Apr 01, 2025",AA_Markenschutz,Sponsored Products,technische Ausstattung FRITSCH_SP_KW-Markenschutz-Phrase_-(0/0),Deutschland,ENABLED,EUR,€12.0,Manuelles Targeting,Dynamische Gebote – nur senken,37493,22008,175,159,0.46699999999999997%,€16.56,€79.65,€0.0946286,€0.5009434,27,4.593%,21.77,€360.51
"Mar 10, 2025","Mar 21, 2025",AA_Druckluftverteiler,Sponsored Products,Druckluftverteiler B08PVPNBYC Performance_SP_KW-Exakt_-(0/0),Deutschland,ENABLED,EUR,€60.0,Manuelles Targeting,Dynamische Gebote – nur senken,10837,56624,60,192,0.5539999999999999%,€27.63,€78.76,€0.46049999999999996,€0.41020829999999997,8,17.386%,5.75,€158.92
